trial_indices,leftP,rightP,choices,rewarded
0,0.85,0.2,1,1
1,0.85,0.2,0,0
2,0.85,0.2,1,0
3,0.85,0.2,1,0
4,0.85,0.2,1,0
5,0.85,0.2,0,1
6,0.85,0.2,0,1
7,0.85,0.2,1,0
8,0.85,0.2,1,0
9,0.85,0.2,-1,-1
10,0.85,0.2,1,1
11,0.85,0.2,0,1
12,0.85,0.2,0,1
13,0.85,0.2,-1,-1
14,0.85,0.2,1,1
15,0.85,0.2,-1,-1
16,0.85,0.2,1,0
17,0.85,0.2,1,0
18,0.85,0.2,-1,-1
19,0.85,0.2,-1,-1
20,0.85,0.2,-1,-1
21,0.85,0.2,1,0
22,0.85,0.2,0,1
23,0.85,0.2,-1,-1
24,0.85,0.2,1,0
25,0.85,0.2,1,0
26,0.85,0.2,1,0
27,0.85,0.2,1,0
28,0.85,0.2,1,0
29,0.85,0.2,0,1
30,0.85,0.2,0,1
31,0.85,0.2,1,0
32,0.85,0.2,1,0
33,0.85,0.2,0,1
34,0.85,0.2,0,1
35,0.85,0.2,0,1
36,0.85,0.2,0,1
37,0.85,0.2,1,0
38,0.85,0.2,-1,-1
39,0.85,0.2,1,1
40,0.85,0.2,1,1
41,0.85,0.2,-1,-1
42,0.85,0.2,1,1
43,0.85,0.2,1,0
44,0.85,0.2,1,0
45,0.85,0.2,-1,-1
46,0.85,0.2,1,0
47,0.85,0.2,0,0
48,0.85,0.2,-1,-1
49,0.85,0.2,-1,-1
50,0.85,0.2,1,1
51,0.85,0.2,1,0
52,0.85,0.2,1,0
53,0.85,0.2,-1,-1
54,0.85,0.2,0,0
55,0.85,0.2,1,0
56,0.85,0.2,1,0
57,0.85,0.2,-1,-1
58,0.85,0.2,-1,-1
59,0.85,0.2,1,0
60,0.85,0.2,-1,-1
61,0.85,0.2,1,0
62,0.85,0.2,1,0
63,0.85,0.2,0,1
64,0.85,0.2,1,0
65,0.85,0.2,0,1
66,0.85,0.2,-1,-1
67,0.85,0.2,-1,-1
68,0.85,0.2,1,0
69,0.85,0.2,-1,-1
70,0.85,0.2,-1,-1
71,0.85,0.2,1,1
72,0.85,0.2,1,0
73,0.85,0.2,1,0
74,0.85,0.2,0,1
75,0.85,0.2,1,0
76,0.85,0.2,0,1
77,0.85,0.2,1,0
78,0.85,0.2,-1,-1
79,0.85,0.2,1,0
80,0.85,0.2,1,0
81,0.85,0.2,0,1
82,0.85,0.2,1,0
83,0.85,0.2,0,1
84,0.85,0.2,0,1
85,0.85,0.2,0,1
86,0.85,0.2,1,0
87,0.85,0.2,1,1
88,0.85,0.2,1,0
89,0.85,0.2,0,1
90,0.85,0.2,0,1
91,0.85,0.2,0,0
92,0.85,0.2,-1,-1
93,0.85,0.2,-1,-1
94,0.85,0.2,-1,-1
95,0.85,0.2,1,0
96,0.85,0.2,-1,-1
97,0.85,0.2,-1,-1
98,0.85,0.2,1,0
99,0.85,0.2,-1,-1
100,0.85,0.2,-1,-1
101,0.85,0.2,0,1
102,0.85,0.2,-1,-1
103,0.85,0.2,-1,-1
104,0.85,0.2,1,0
105,0.85,0.2,1,0
106,0.85,0.2,0,1
107,0.85,0.2,1,0
108,0.85,0.2,1,0
109,0.85,0.2,1,0
110,0.85,0.2,-1,-1
111,0.85,0.2,-1,-1
112,0.85,0.2,-1,-1
113,0.85,0.2,-1,-1
114,0.85,0.2,-1,-1
115,0.85,0.2,1,0
116,0.85,0.2,1,1
117,0.85,0.2,-1,-1
118,0.85,0.2,1,0
119,0.85,0.2,-1,-1
120,0.85,0.2,-1,-1
121,0.85,0.2,-1,-1
122,0.85,0.2,-1,-1
123,0.85,0.2,-1,-1
124,0.85,0.2,1,1
125,0.85,0.2,0,1
126,0.85,0.2,-1,-1
127,0.85,0.2,-1,-1
128,0.85,0.2,-1,-1
129,0.85,0.2,-1,-1
130,0.85,0.2,-1,-1
131,0.85,0.2,-1,-1
132,0.85,0.2,-1,-1
133,0.85,0.2,0,1
134,0.85,0.2,-1,-1
135,0.85,0.2,-1,-1
136,0.85,0.2,-1,-1
137,0.85,0.2,-1,-1
138,0.85,0.2,0,1
139,0.85,0.2,-1,-1
140,0.85,0.2,-1,-1
141,0.85,0.2,-1,-1
142,0.85,0.2,-1,-1
143,0.85,0.2,-1,-1
144,0.85,0.2,-1,-1
145,0.85,0.2,-1,-1
146,0.85,0.2,-1,-1
147,0.85,0.2,-1,-1
148,0.85,0.2,-1,-1
149,0.85,0.2,0,1
150,0.85,0.2,-1,-1
151,0.85,0.2,0,1
152,0.85,0.2,-1,-1
153,0.85,0.2,-1,-1
154,0.85,0.2,-1,-1
155,0.85,0.2,-1,-1
156,0.85,0.2,1,0
157,0.85,0.2,-1,-1
158,0.85,0.2,-1,-1
159,0.85,0.2,-1,-1
160,0.85,0.2,-1,-1
161,0.85,0.2,-1,-1
162,0.85,0.2,-1,-1
163,0.85,0.2,-1,-1
164,0.85,0.2,-1,-1
165,0.85,0.2,-1,-1
166,0.85,0.2,-1,-1
167,0.85,0.2,0,0
168,0.85,0.2,1,1
169,0.85,0.2,-1,-1
170,0.85,0.2,1,0
171,0.85,0.2,-1,-1
172,0.85,0.2,-1,-1
173,0.85,0.2,-1,-1
174,0.85,0.2,-1,-1
175,0.85,0.2,-1,-1
176,0.85,0.2,-1,-1
177,0.85,0.2,-1,-1
178,0.85,0.2,-1,-1
179,0.85,0.2,1,0
180,0.85,0.2,-1,-1
181,0.85,0.2,1,0
182,0.85,0.2,-1,-1
183,0.85,0.2,-1,-1
184,0.85,0.2,-1,-1
185,0.85,0.2,1,0
186,0.85,0.2,-1,-1
187,0.85,0.2,0,1
188,0.85,0.2,-1,-1
189,0.85,0.2,1,0
190,0.85,0.2,-1,-1
191,0.85,0.2,0,1
192,0.85,0.2,-1,-1
193,0.85,0.2,-1,-1
194,0.85,0.2,-1,-1
195,0.85,0.2,-1,-1
196,0.85,0.2,-1,-1
197,0.85,0.2,-1,-1
198,0.85,0.2,1,0
199,0.85,0.2,-1,-1
200,0.85,0.2,-1,-1
201,0.85,0.2,-1,-1
202,0.85,0.2,-1,-1
203,0.85,0.2,-1,-1
204,0.85,0.2,-1,-1
205,0.85,0.2,1,0
206,0.85,0.2,-1,-1
207,0.85,0.2,-1,-1
208,0.85,0.2,-1,-1
209,0.85,0.2,-1,-1
210,0.85,0.2,-1,-1
211,0.85,0.2,-1,-1
212,0.85,0.2,-1,-1
213,0.85,0.2,-1,-1
214,0.85,0.2,-1,-1
215,0.85,0.2,-1,-1
216,0.85,0.2,-1,-1
217,0.85,0.2,-1,-1
218,0.85,0.2,1,0
219,0.85,0.2,1,0
220,0.85,0.2,1,0
221,0.85,0.2,1,0
222,0.85,0.2,-1,-1
223,0.85,0.2,-1,-1
224,0.85,0.2,-1,-1
225,0.85,0.2,-1,-1
226,0.85,0.2,1,0
227,0.85,0.2,1,0
228,0.85,0.2,1,0
229,0.85,0.2,1,1
230,0.85,0.2,1,1
231,0.85,0.2,1,0
232,0.85,0.2,-1,-1
233,0.85,0.2,0,1
234,0.85,0.2,-1,-1
235,0.85,0.2,-1,-1
236,0.85,0.2,-1,-1
237,0.85,0.2,-1,-1
238,0.85,0.2,-1,-1
239,0.85,0.2,-1,-1
240,0.85,0.2,-1,-1
241,0.85,0.2,0,1
242,0.85,0.2,-1,-1
243,0.85,0.2,-1,-1
244,0.85,0.2,-1,-1
245,0.85,0.2,1,0
246,0.85,0.2,1,1
247,0.85,0.2,1,1
248,0.85,0.2,1,0
249,0.85,0.2,0,1
250,0.85,0.2,-1,-1
251,0.85,0.2,-1,-1
252,0.85,0.2,1,0
253,0.85,0.2,1,1
254,0.85,0.2,1,0
255,0.85,0.2,0,1
256,0.85,0.2,-1,-1
257,0.85,0.2,1,0
258,0.85,0.2,1,0
259,0.85,0.2,-1,-1
260,0.85,0.2,-1,-1
261,0.85,0.2,-1,-1
262,0.85,0.2,-1,-1
263,0.85,0.2,1,0
264,0.85,0.2,-1,-1
265,0.85,0.2,0,0
266,0.85,0.2,1,1
267,0.85,0.2,0,1
268,0.85,0.2,1,0
269,0.85,0.2,0,1
270,0.85,0.2,0,1
271,0.85,0.2,0,1
272,0.85,0.2,1,1
273,0.85,0.2,-1,-1
274,0.85,0.2,0,1
275,0.85,0.2,-1,-1
276,0.85,0.2,1,0
277,0.85,0.2,0,1
278,0.85,0.2,0,1
279,0.85,0.2,1,0
280,0.85,0.2,1,0
281,0.85,0.2,1,1
282,0.85,0.2,0,1
283,0.85,0.2,0,0
284,0.85,0.2,1,0
285,0.85,0.2,1,0
286,0.85,0.2,1,0
287,0.85,0.2,0,1
288,0.85,0.2,0,1
289,0.85,0.2,0,0
290,0.85,0.2,0,0
291,0.85,0.2,0,1
292,0.85,0.2,0,1
293,0.85,0.2,0,1
294,0.85,0.2,0,1
295,0.85,0.2,0,1
296,0.85,0.2,0,1
297,0.85,0.2,0,1
298,0.85,0.2,0,0
299,0.85,0.2,0,1
300,0.85,0.2,0,1
301,0.85,0.2,1,0
302,0.85,0.2,0,1
303,0.85,0.2,0,1
304,0.85,0.2,0,1
305,0.85,0.2,0,1
306,0.85,0.2,0,1
307,0.2,0.85,0,0
308,0.2,0.85,0,0
309,0.2,0.85,0,0
310,0.2,0.85,0,0
311,0.2,0.85,0,0
312,0.2,0.85,0,0
313,0.2,0.85,0,1
314,0.2,0.85,0,0
315,0.2,0.85,0,0
316,0.2,0.85,1,1
317,0.2,0.85,0,0
318,0.2,0.85,1,1
319,0.2,0.85,1,1
320,0.2,0.85,1,1
321,0.2,0.85,1,1
322,0.2,0.85,1,1
323,0.2,0.85,1,1
324,0.2,0.85,1,0
325,0.2,0.85,1,1
326,0.2,0.85,1,1
327,0.2,0.85,1,1
328,0.2,0.85,1,1
329,0.2,0.85,1,0
330,0.2,0.85,1,1
331,0.2,0.85,1,1
332,0.2,0.85,1,1
333,0.2,0.85,1,1
334,0.2,0.85,1,1
335,0.2,0.85,1,1
336,0.2,0.85,1,0
337,0.2,0.85,1,1
338,0.2,0.85,1,1
339,0.2,0.85,1,0
340,0.2,0.85,1,1
341,0.2,0.85,1,1
342,0.2,0.85,0,1
343,0.2,0.85,1,0
344,0.2,0.85,1,1
345,0.2,0.85,1,1
346,0.2,0.85,1,1
347,0.2,0.85,1,1
348,0.2,0.85,1,0
349,0.2,0.85,1,1
350,0.2,0.85,1,1
351,0.2,0.85,1,1
352,0.2,0.85,1,1
353,0.2,0.85,1,1
354,0.2,0.85,1,1
355,0.2,0.85,1,1
356,0.2,0.85,0,0
357,0.2,0.85,1,1
358,0.2,0.85,1,1
359,0.2,0.85,1,1
360,0.2,0.85,1,1
361,0.2,0.85,1,1
362,0.2,0.85,1,1
363,0.2,0.85,1,1
364,0.2,0.85,1,0
365,0.2,0.85,1,0
366,0.2,0.85,1,1
367,0.2,0.85,1,1
368,0.2,0.85,1,1
369,0.2,0.85,1,1
370,0.2,0.85,1,1
371,0.2,0.85,0,1
372,0.2,0.85,1,0
373,0.2,0.85,1,1
374,0.2,0.85,1,1
375,0.2,0.85,1,1
376,0.2,0.85,1,1
377,0.2,0.85,0,0
378,0.2,0.85,1,1
379,0.2,0.85,1,1
380,0.2,0.85,1,1
381,0.2,0.85,1,1
382,0.2,0.85,1,1
383,0.2,0.85,1,1
384,0.2,0.85,1,1
385,0.2,0.85,1,1
386,0.2,0.85,1,0
387,0.8,0.2,1,0
388,0.8,0.2,1,1
389,0.8,0.2,1,0
390,0.8,0.2,1,0
391,0.8,0.2,1,1
392,0.8,0.2,1,0
393,0.8,0.2,1,0
394,0.8,0.2,1,0
395,0.8,0.2,0,1
396,0.8,0.2,1,0
397,0.8,0.2,1,0
398,0.8,0.2,1,1
399,0.8,0.2,1,0
400,0.8,0.2,0,1
401,0.8,0.2,1,0
402,0.8,0.2,1,0
403,0.8,0.2,1,0
404,0.8,0.2,1,0
405,0.8,0.2,1,0
406,0.8,0.2,0,1
407,0.8,0.2,0,0
408,0.8,0.2,0,1
409,0.8,0.2,0,1
410,0.8,0.2,0,1
411,0.8,0.2,0,0
412,0.8,0.2,1,0
413,0.8,0.2,0,1
414,0.8,0.2,0,1
415,0.8,0.2,0,1
416,0.8,0.2,0,1
417,0.8,0.2,0,1
418,0.85,0.2,0,0
419,0.85,0.2,1,0
420,0.85,0.2,1,0
421,0.85,0.2,0,1
422,0.85,0.2,0,1
423,0.85,0.2,0,1
424,0.85,0.2,1,0
425,0.85,0.2,0,1
426,0.85,0.2,0,1
427,0.85,0.2,0,1
428,0.85,0.2,0,1
429,0.85,0.2,0,1
430,0.85,0.2,0,0
431,0.85,0.2,0,1
432,0.85,0.2,0,1
433,0.85,0.2,0,1
434,0.85,0.2,0,1
435,0.85,0.2,0,1
